TYPE;STATUT;ADRESSE;ARRONDISSEMENT;HORAIRE;ACCES_PMR;RELAIS_BEBE;URL_FICHE_EQUIPEMENT;geo_shape;geo_point_2d
SANISETTE;;RUE DES MARINIERS;75014;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3111981116311844, 48.827608205263566]], ""type"": ""MultiPoint""}";48.827608205263566, 2.3111981116311844
SANISETTE;;face au 18 AVENUE DU GENERAL LECLERC;75014;6 h - 1 h;Oui;;;"{""coordinates"": [[2.330940750030439, 48.832342450203996]], ""type"": ""MultiPoint""}";48.832342450203996, 2.330940750030439
SANISETTE;;18  AVENUE DE LA PORTE DE VANVES;75014;6 h - 22 h;Oui;;;"{""coordinates"": [[2.304138725656121, 48.825507784271004]], ""type"": ""MultiPoint""}";48.825507784271004, 2.304138725656121
SANISETTE;;70  BOULEVARD JOURDAN;75014;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3288565134356696, 48.82262985130541]], ""type"": ""MultiPoint""}";48.82262985130541, 2.3288565134356696
TOILETTES;;COULEE VERTE RENE DUMONT - PROMENADE DE LA RUE DU SAHEL;75012;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/square-charles-peguy-2575;"{""coordinates"": [[2.402205289443234, 48.841005862551526]], ""type"": ""MultiPoint""}";48.841005862551526, 2.402205289443234
TOILETTES;;SQUARE DU TEMPLE - ELIE WIESEL;75003;Voir fiche équipement;Non;Oui;https://www.paris.fr/equipements/square-du-temple-elie-wiesel-2425;"{""coordinates"": [[2.360499743483085, 48.86428649324811]], ""type"": ""MultiPoint""}";48.86428649324811, 2.360499743483085
TOILETTES;;SQUARE DE L'OISEAU LUNAIRE;75015;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-de-l-oiseau-lunaire-ex-blomet-2519;"{""coordinates"": [[2.30558818110809, 48.84213546483047]], ""type"": ""MultiPoint""}";48.84213546483047, 2.30558818110809
TOILETTES;;JARDIN DE L'HOPITAL SAINTE-PERINE;75016;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/parc-sainte-perine-1806;"{""coordinates"": [[2.2686233189051084, 48.843881777990774]], ""type"": ""MultiPoint""}";48.843881777990774, 2.2686233189051084
TOILETTES;;SQUARE DES DEUX NETHES;75018;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/square-des-deux-nethes-2765;"{""coordinates"": [[2.327515105424676, 48.885658542356424]], ""type"": ""MultiPoint""}";48.885658542356424, 2.327515105424676
TOILETTES;;SQUARE SEVERINE;75020;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-severine-1776;"{""coordinates"": [[2.4097626243737658, 48.86626191493033]], ""type"": ""MultiPoint""}";48.86626191493033, 2.4097626243737658
TOILETTES;;JARDIN NELSON MANDELA;75001;Voir fiche équipement;Oui;;;"{""coordinates"": [[2.3463609754114185, 48.862250005118426]], ""type"": ""MultiPoint""}";48.862250005118426, 2.3463609754114185
TOILETTES;;JARDIN CHARLES TRENET;75013;Voir fiche équipement;Oui;;;"{""coordinates"": [[2.3483757362666657, 48.821612195284416]], ""type"": ""MultiPoint""}";48.821612195284416, 2.3483757362666657
TOILETTES;;SQUARE DE LA SALAMANDRE;75020;Voir fiche équipement;Oui;;;"{""coordinates"": [[2.4060322699889594, 48.857736689764785]], ""type"": ""MultiPoint""}";48.857736689764785, 2.4060322699889594
SANISETTE;;face au 170 RUE DE LOURMEL;75015;6 h - 22 h;Oui;;;"{""coordinates"": [[2.2825564637843203, 48.839092109817884]], ""type"": ""MultiPoint""}";48.839092109817884, 2.2825564637843203
SANISETTE;;face au 2 AVENUE EMILE ZOLA;75015;24 h / 24;Oui;;;"{""coordinates"": [[2.277628065658712, 48.84624346727108]], ""type"": ""MultiPoint""}";48.84624346727108, 2.277628065658712
SANISETTE;;1  RUE DE LA BONNE;75018;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3435451564273744, 48.88736179846096]], ""type"": ""MultiPoint""}";48.88736179846096, 2.3435451564273744
SANISETTE;;2  RUE DE JOINVILLE;75019;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3807026479019133, 48.889477761529356]], ""type"": ""MultiPoint""}";48.889477761529356, 2.3807026479019133
SANISETTE;;23  BOULEVARD DE SEBASTOPOL;75001;24 h / 24;Oui;;;"{""coordinates"": [[2.34883723065613, 48.85985523410493]], ""type"": ""MultiPoint""}";48.85985523410493, 2.34883723065613
SANISETTE;;face au 4 BOULEVARD RICHARD LENOIR;75011;24 h / 24;Oui;;;"{""coordinates"": [[2.369700183831095, 48.85398317138819]], ""type"": ""MultiPoint""}";48.85398317138819, 2.369700183831095
SANISETTE;;2  AVENUE DE BOUVINES;75011;24 h / 24;Oui;;;"{""coordinates"": [[2.3963021065433, 48.84957781951283]], ""type"": ""MultiPoint""}";48.84957781951283, 2.3963021065433
SANISETTE;;82  AVENUE DE LA REPUBLIQUE;75011;6 h - 1 h;Oui;;;"{""coordinates"": [[2.379523121382903, 48.86424208661514]], ""type"": ""MultiPoint""}";48.86424208661514, 2.379523121382903
